sample_1,sample_2,distance,pair_id,original_sample_id_1,habitat_1,coast_1,site_1,latitude_1,longitude_1,original_sample_id_2,habitat_2,coast_2,site_2,latitude_2,longitude_2,same_habitat,same_coast,same_site,pair_category,contrast_group
S1,S16,0.5716777035335494,S1__S16,1,Mangrove,West,Man_Kukup,1.334569,103.430838,16,Coral,West,Cor_ PB_PP,2.416537,101.886223,FALSE,TRUE,FALSE,Different habitat / same coast,"Different habitat
same coast"
S1,S17,0.5443304559752837,S1__S17,1,Mangrove,West,Man_Kukup,1.334569,103.430838,17,Coral,West,Cor_ PB_PP,2.415967,101.889648,FALSE,TRUE,FALSE,Different habitat / same coast,"Different habitat
same coast"
S1,S18,0.5559502238104893,S1__S18,1,Mangrove,West,Man_Kukup,1.334569,103.430838,18,Coral,West,Cor_ PB_PP,2.414291,101.892398,FALSE,TRUE,FALSE,Different habitat / same coast,"Different habitat
same coast"
S1,S19,0.5370645071421686,S1__S19,1,Mangrove,West,Man_Kukup,1.334569,103.430838,19,Coral,West,Cor_ PB_PP,2.413761,101.895526,FALSE,TRUE,FALSE,Different habitat / same coast,"Different habitat
same coast"
S1,S20,0.52321976972417,S1__S20,1,Mangrove,West,Man_Kukup,1.334569,103.430838,20,Coral,West,Cor_ PB_PP,2.417129,101.883533,FALSE,TRUE,FALSE,Different habitat / same coast,"Different habitat
same coast"
S1,S21,0.9227031682583328,S1__S21,1,Mangrove,West,Man_Kukup,1.334569,103.430838,21,Mangrove,East,Man_Pulau_Tinggi,2.287462,104.109177,TRUE,FALSE,FALSE,Same habitat / different coast,"Same habitat
different coast"
S1,S22,0.8159385791920921,S1__S22,1,Mangrove,West,Man_Kukup,1.334569,103.430838,22,Mangrove,East,Man_Pulau_Tinggi,2.289198,104.110969,TRUE,FALSE,FALSE,Same habitat / different coast,"Same habitat
different coast"
S1,S23,0.7360306446883365,S1__S23,1,Mangrove,West,Man_Kukup,1.334569,103.430838,23,Mangrove,East,Man_Pulau_Tinggi,2.290686,104.110262,TRUE,FALSE,FALSE,Same habitat / different coast,"Same habitat
different coast"
S1,S24,0.7254197126601603,S1__S24,1,Mangrove,West,Man_Kukup,1.334569,103.430838,24,Mangrove,East,Man_Pulau_Tinggi,2.290271,104.108844,TRUE,FALSE,FALSE,Same habitat / different coast,"Same habitat
different coast"
S1,S25,0.6035421074738019,S1__S25,1,Mangrove,West,Man_Kukup,1.334569,103.430838,25,Mangrove,East,Man_Pulau_Tinggi,2.289627,104.110053,TRUE,FALSE,FALSE,Same habitat / different coast,"Same habitat
different coast"
S1,S36,0.9461605436208599,S1__S36,1,Mangrove,West,Man_Kukup,1.334569,103.430838,36,Mangrove,East,Man_Nenasi,3.109037,103.443207,TRUE,FALSE,FALSE,Same habitat / different coast,"Same habitat
different coast"
